Input,Target
"Moira: ""Look at us, all being together! Jonathan and I were just saying, wouldn't it be fun to have the mayor and his wife over for cocktails and charades tonight!"" | Roland: ""Oh, yeah, no, unfortunately that's not gonna work for us. We're having a huge party tonight at our place."" | Jocelyn: ""Ton of people coming to our house. Whoo!""","Roland: ""But we're free any other night, other than tonight."""
"David: ""So the other... so, last night um... That was just a...""","Stevie: ""Was a one time thing."""
"David: ""So the other... so, last night um... That was just a..."" | Stevie: ""Was a one time thing.""","David: ""That was a one time Like a blip."""
"David: ""So the other... so, last night um... That was just a..."" | Stevie: ""Was a one time thing."" | David: ""That was a one time Like a blip.""","Stevie: ""Just a blip... Just a blip blop. Just a..."""
"Stevie: ""Was a one time thing."" | David: ""That was a one time Like a blip."" | Stevie: ""Just a blip... Just a blip blop. Just a...""","David: ""My sister said that she uh..."""
"David: ""That was a one time Like a blip."" | Stevie: ""Just a blip... Just a blip blop. Just a..."" | David: ""My sister said that she uh...""","Stevie: ""Invited me to Ted's, yeah."""
"Stevie: ""Just a blip... Just a blip blop. Just a..."" | David: ""My sister said that she uh..."" | Stevie: ""Invited me to Ted's, yeah.""","David: ""Yes, she'd asked you to Ted's."""
"David: ""My sister said that she uh..."" | Stevie: ""Invited me to Ted's, yeah."" | David: ""Yes, she'd asked you to Ted's.""","Stevie: ""Okay, well I'm gonna leave from here, should I just come by your place, and get you when I'm done?"""
"Stevie: ""Invited me to Ted's, yeah."" | David: ""Yes, she'd asked you to Ted's."" | Stevie: ""Okay, well I'm gonna leave from here, should I just come by your place, and get you when I'm done?""","David: ""Yeah, we can go together, 'cause that's... That's like, a totally normal thing for us to do."""
"David: ""Yes, she'd asked you to Ted's."" | Stevie: ""Okay, well I'm gonna leave from here, should I just come by your place, and get you when I'm done?"" | David: ""Yeah, we can go together, 'cause that's... That's like, a totally normal thing for us to do.""","Stevie: ""Why would it not be?"""
"Stevie: ""Okay, well I'm gonna leave from here, should I just come by your place, and get you when I'm done?"" | David: ""Yeah, we can go together, 'cause that's... That's like, a totally normal thing for us to do."" | Stevie: ""Why would it not be?""","David: ""No, it's not! I mean..."""
"David: ""Yeah, we can go together, 'cause that's... That's like, a totally normal thing for us to do."" | Stevie: ""Why would it not be?"" | David: ""No, it's not! I mean...""","Stevie: ""Yeah, no, this is a good thing."""
"Stevie: ""Why would it not be?"" | David: ""No, it's not! I mean..."" | Stevie: ""Yeah, no, this is a good thing.""","David: ""So I'll just um... I'll see you when you swing by, so..."""
"David: ""No, it's not! I mean..."" | Stevie: ""Yeah, no, this is a good thing."" | David: ""So I'll just um... I'll see you when you swing by, so...""","Stevie: ""Yeah, I'll be- okay, all right, blippity blop. Blippity blip."""
"Alexis: ""You're quiet today.""","Mutt: ""Am I?"""
"Alexis: ""You're quiet today."" | Mutt: ""Am I?""","Alexis: ""It's just that you're not talking, and it's annoying, because I'm bored."""
"Alexis: ""You're quiet today."" | Mutt: ""Am I?"" | Alexis: ""It's just that you're not talking, and it's annoying, because I'm bored.""","Mutt: ""Can't we just think and work, or do we always have to talk?"""
"Mutt: ""Am I?"" | Alexis: ""It's just that you're not talking, and it's annoying, because I'm bored."" | Mutt: ""Can't we just think and work, or do we always have to talk?""","Alexis: ""Okay, you're being super sketchy and emo right now, what is going on?"""
"Alexis: ""It's just that you're not talking, and it's annoying, because I'm bored."" | Mutt: ""Can't we just think and work, or do we always have to talk?"" | Alexis: ""Okay, you're being super sketchy and emo right now, what is going on?""","Mutt: ""Have you ever been in a relationship where you find yourself cheating """
"Mutt: ""Can't we just think and work, or do we always have to talk?"" | Alexis: ""Okay, you're being super sketchy and emo right now, what is going on?"" | Mutt: ""Have you ever been in a relationship where you find yourself cheating ""","Alexis: ""Yes!"""
"Alexis: ""Okay, you're being super sketchy and emo right now, what is going on?"" | Mutt: ""Have you ever been in a relationship where you find yourself cheating "" | Alexis: ""Yes!""","Mutt: ""With someone in your dreams?"""
"Mutt: ""Have you ever been in a relationship where you find yourself cheating "" | Alexis: ""Yes!"" | Mutt: ""With someone in your dreams?""","Alexis: ""Oh. Um... you know that if it's in your dreams, or over the clothes, it's not cheating, right?"""
"Alexis: ""Yes!"" | Mutt: ""With someone in your dreams?"" | Alexis: ""Oh. Um... you know that if it's in your dreams, or over the clothes, it's not cheating, right?""","Mutt: ""Yeah well, it's been happening a lot lately, and then I look over and I see Twyla, and I feel bad."""
"Mutt: ""With someone in your dreams?"" | Alexis: ""Oh. Um... you know that if it's in your dreams, or over the clothes, it's not cheating, right?"" | Mutt: ""Yeah well, it's been happening a lot lately, and then I look over and I see Twyla, and I feel bad.""","Alexis: ""Also, Ted is throwing a party tonight, maybe that's something exciting for you two to do together?"""
"Alexis: ""Oh. Um... you know that if it's in your dreams, or over the clothes, it's not cheating, right?"" | Mutt: ""Yeah well, it's been happening a lot lately, and then I look over and I see Twyla, and I feel bad."" | Alexis: ""Also, Ted is throwing a party tonight, maybe that's something exciting for you two to do together?""","Mutt: ""That's probably not such a good idea."""
"Moira: ""I'm sorry, what kind of event are you hosting this evening?""","Roland: ""Oh, it's more of a soiree."""
"Moira: ""I'm sorry, what kind of event are you hosting this evening?"" | Roland: ""Oh, it's more of a soiree.""","Jocelyn: ""He's just teasing, it's our annual Hawaiian night. Pineapples, pig on the spit, the whole nine yards."""
"Moira: ""I'm sorry, what kind of event are you hosting this evening?"" | Roland: ""Oh, it's more of a soiree."" | Jocelyn: ""He's just teasing, it's our annual Hawaiian night. Pineapples, pig on the spit, the whole nine yards.""","Johnny: ""Oh, you roast pigs?"""
"Roland: ""Oh, it's more of a soiree."" | Jocelyn: ""He's just teasing, it's our annual Hawaiian night. Pineapples, pig on the spit, the whole nine yards."" | Johnny: ""Oh, you roast pigs?""","Jocelyn: ""We have a big one hanging in the garage."""
"Jocelyn: ""He's just teasing, it's our annual Hawaiian night. Pineapples, pig on the spit, the whole nine yards."" | Johnny: ""Oh, you roast pigs?"" | Jocelyn: ""We have a big one hanging in the garage.""","Johnny: ""Wow, it sounds like um... quite the evening."""
"Johnny: ""Oh, you roast pigs?"" | Jocelyn: ""We have a big one hanging in the garage."" | Johnny: ""Wow, it sounds like um... quite the evening.""","Moira: ""So whose pig do we have to slaughter to get an invite?"""
"Jocelyn: ""We have a big one hanging in the garage."" | Johnny: ""Wow, it sounds like um... quite the evening."" | Moira: ""So whose pig do we have to slaughter to get an invite?""","Jocelyn: ""Oh my goodness, well, um... We just didn't think that you and Johnny would wanna come, so..."""
"Johnny: ""Wow, it sounds like um... quite the evening."" | Moira: ""So whose pig do we have to slaughter to get an invite?"" | Jocelyn: ""Oh my goodness, well, um... We just didn't think that you and Johnny would wanna come, so...""","Moira: ""Well, that's a touch presumptuous Jocelyn, why would we not want to be involved in a themed party in your yard?"""
"Moira: ""So whose pig do we have to slaughter to get an invite?"" | Jocelyn: ""Oh my goodness, well, um... We just didn't think that you and Johnny would wanna come, so..."" | Moira: ""Well, that's a touch presumptuous Jocelyn, why would we not want to be involved in a themed party in your yard?""","Roland: ""Well, I mean, for one thing, you know, the two of you are a little...Hoity-toity"""
"Jocelyn: ""Oh my goodness, well, um... We just didn't think that you and Johnny would wanna come, so..."" | Moira: ""Well, that's a touch presumptuous Jocelyn, why would we not want to be involved in a themed party in your yard?"" | Roland: ""Well, I mean, for one thing, you know, the two of you are a little...Hoity-toity""","Jocelyn: ""We didn't think that you'd wanna hang out with ""regular people."""""
"Moira: ""Well, that's a touch presumptuous Jocelyn, why would we not want to be involved in a themed party in your yard?"" | Roland: ""Well, I mean, for one thing, you know, the two of you are a little...Hoity-toity"" | Jocelyn: ""We didn't think that you'd wanna hang out with ""regular people.""""","Moira: ""Regular people are how Rose Video became such a- Regular people! I mean, they made us who we were- What am I trying to say?"""
"Roland: ""Well, I mean, for one thing, you know, the two of you are a little...Hoity-toity"" | Jocelyn: ""We didn't think that you'd wanna hang out with ""regular people."""" | Moira: ""Regular people are how Rose Video became such a- Regular people! I mean, they made us who we were- What am I trying to say?""","Johnny: ""We love regular people."""
"Jocelyn: ""We didn't think that you'd wanna hang out with ""regular people."""" | Moira: ""Regular people are how Rose Video became such a- Regular people! I mean, they made us who we were- What am I trying to say?"" | Johnny: ""We love regular people.""","Moira: ""W-we love regular people."""
"Moira: ""Regular people are how Rose Video became such a- Regular people! I mean, they made us who we were- What am I trying to say?"" | Johnny: ""We love regular people."" | Moira: ""W-we love regular people.""","Jocelyn: ""Well, by all means then, the two of you are invited."""
"Stevie: ""So, just to be clear, um, I'm a red wine drinker. But uh, I only drink red wine. And up until last night I was under the impression that you too only drank red wine. But I guess I was wrong?""","David: ""I see where you're going with this. Um... I do drink red wine. But I also drink white wine. Oh. - And I've been known to sample the occasional Rose."""
"Stevie: ""So, just to be clear, um, I'm a red wine drinker. But uh, I only drink red wine. And up until last night I was under the impression that you too only drank red wine. But I guess I was wrong?"" | David: ""I see where you're going with this. Um... I do drink red wine. But I also drink white wine. Oh. - And I've been known to sample the occasional Rose.""","Davidd: ""And a couple summers back I tried a Merlot, that used to be a chardonnay."""
"Stevie: ""So, just to be clear, um, I'm a red wine drinker. But uh, I only drink red wine. And up until last night I was under the impression that you too only drank red wine. But I guess I was wrong?"" | David: ""I see where you're going with this. Um... I do drink red wine. But I also drink white wine. Oh. - And I've been known to sample the occasional Rose."" | Davidd: ""And a couple summers back I tried a Merlot, that used to be a chardonnay.""","David: ""Which got a bit complicated."""
"David: ""I see where you're going with this. Um... I do drink red wine. But I also drink white wine. Oh. - And I've been known to sample the occasional Rose."" | Davidd: ""And a couple summers back I tried a Merlot, that used to be a chardonnay."" | David: ""Which got a bit complicated.""","Stevie: ""Yeah, so, you're just really open to all wines."""
"Davidd: ""And a couple summers back I tried a Merlot, that used to be a chardonnay."" | David: ""Which got a bit complicated."" | Stevie: ""Yeah, so, you're just really open to all wines.""","David: ""I like the wine, and not the label. Does that make sense?"""
"David: ""Which got a bit complicated."" | Stevie: ""Yeah, so, you're just really open to all wines."" | David: ""I like the wine, and not the label. Does that make sense?""","Stevie: ""Yeah it does. Um, this is just very new to me, so as long as you didn't roll over, and cry yourself to sleep with regret, then we're good, right?"""
"Stevie: ""Yeah, so, you're just really open to all wines."" | David: ""I like the wine, and not the label. Does that make sense?"" | Stevie: ""Yeah it does. Um, this is just very new to me, so as long as you didn't roll over, and cry yourself to sleep with regret, then we're good, right?""","David: ""No, no, no, I absolutely did that. Just wept for hours in the dark. I say we go with this one, it's the biggest."""
"David: ""Wow Ted, the place is very... New looking. Did you design the interior?""","Ted: ""No, I found this website online that sells off old department store show rooms. So this whole room Just gets delivered, as is. This is the ""bachelor's den"" here, and then that's the ""executive dining lounge"" that I got on black Friday."""
"David: ""Wow Ted, the place is very... New looking. Did you design the interior?"" | Ted: ""No, I found this website online that sells off old department store show rooms. So this whole room Just gets delivered, as is. This is the ""bachelor's den"" here, and then that's the ""executive dining lounge"" that I got on black Friday.""","Stevie: ""So... Are we the only ones showing up to this party?"""
"David: ""Wow Ted, the place is very... New looking. Did you design the interior?"" | Ted: ""No, I found this website online that sells off old department store show rooms. So this whole room Just gets delivered, as is. This is the ""bachelor's den"" here, and then that's the ""executive dining lounge"" that I got on black Friday."" | Stevie: ""So... Are we the only ones showing up to this party?""","Ted: ""No, we're still waiting for Mutt and Twyla. Oh, I should take the rolls out of the microwave."""
"Ted: ""No, I found this website online that sells off old department store show rooms. So this whole room Just gets delivered, as is. This is the ""bachelor's den"" here, and then that's the ""executive dining lounge"" that I got on black Friday."" | Stevie: ""So... Are we the only ones showing up to this party?"" | Ted: ""No, we're still waiting for Mutt and Twyla. Oh, I should take the rolls out of the microwave.""","David: ""Alexis had just said that this was a ""party"" party."""
"Stevie: ""So... Are we the only ones showing up to this party?"" | Ted: ""No, we're still waiting for Mutt and Twyla. Oh, I should take the rolls out of the microwave."" | David: ""Alexis had just said that this was a ""party"" party.""","Alexis: ""Ah well, you must've been misinformed then, David."""
"Ted: ""No, we're still waiting for Mutt and Twyla. Oh, I should take the rolls out of the microwave."" | David: ""Alexis had just said that this was a ""party"" party."" | Alexis: ""Ah well, you must've been misinformed then, David.""","Ted: ""No, it's a dinner party. I wanted to get to know Alexis' friends a bit, so I figured we'd invite a few couples over, huh, have some dinner, play some games?"""
"David: ""Alexis had just said that this was a ""party"" party."" | Alexis: ""Ah well, you must've been misinformed then, David."" | Ted: ""No, it's a dinner party. I wanted to get to know Alexis' friends a bit, so I figured we'd invite a few couples over, huh, have some dinner, play some games?""","Alexis: ""Twyla, I love your outfit, you look like a little Georgia peach!"""
"Alexis: ""Ah well, you must've been misinformed then, David."" | Ted: ""No, it's a dinner party. I wanted to get to know Alexis' friends a bit, so I figured we'd invite a few couples over, huh, have some dinner, play some games?"" | Alexis: ""Twyla, I love your outfit, you look like a little Georgia peach!""","Mutt: ""So, where is everybody? I thought this was a party."""
"Ted: ""No, it's a dinner party. I wanted to get to know Alexis' friends a bit, so I figured we'd invite a few couples over, huh, have some dinner, play some games?"" | Alexis: ""Twyla, I love your outfit, you look like a little Georgia peach!"" | Mutt: ""So, where is everybody? I thought this was a party.""","Alexis: ""It is, it's an exclusive little party."""
"Roland: ""Hey, who turned off don ho?! Oh hey, aloha, Roses! Look who it is Its the Roses.""","Johnny: ""Hey! Yeah, there you go."""
"Roland: ""Hey, who turned off don ho?! Oh hey, aloha, Roses! Look who it is Its the Roses."" | Johnny: ""Hey! Yeah, there you go.""","Roland: ""I gotta tell you, that suit, that's pretty dangerous to wear at a party like this! I just wanna wipe my hands all over that!"""
"Roland: ""Hey, who turned off don ho?! Oh hey, aloha, Roses! Look who it is Its the Roses."" | Johnny: ""Hey! Yeah, there you go."" | Roland: ""I gotta tell you, that suit, that's pretty dangerous to wear at a party like this! I just wanna wipe my hands all over that!""","Johnny: ""You just keep getting funnier."""
"Johnny: ""Hey! Yeah, there you go."" | Roland: ""I gotta tell you, that suit, that's pretty dangerous to wear at a party like this! I just wanna wipe my hands all over that!"" | Johnny: ""You just keep getting funnier.""","Roland: ""I'm not joking though, I really do."""
"Roland: ""I gotta tell you, that suit, that's pretty dangerous to wear at a party like this! I just wanna wipe my hands all over that!"" | Johnny: ""You just keep getting funnier."" | Roland: ""I'm not joking though, I really do.""","Jocelyn: ""I have to ask you, are those wigs real hair? i just want to touch them"""
"Johnny: ""You just keep getting funnier."" | Roland: ""I'm not joking though, I really do."" | Jocelyn: ""I have to ask you, are those wigs real hair? i just want to touch them""","Moira: ""oh please don't!No, Maureen does not like to be manhandled!"""
"Roland: ""I'm not joking though, I really do."" | Jocelyn: ""I have to ask you, are those wigs real hair? i just want to touch them"" | Moira: ""oh please don't!No, Maureen does not like to be manhandled!""","Roland: ""Hey Roses, if I tell you a secret, you promise to keep it?"""
"Jocelyn: ""I have to ask you, are those wigs real hair? i just want to touch them"" | Moira: ""oh please don't!No, Maureen does not like to be manhandled!"" | Roland: ""Hey Roses, if I tell you a secret, you promise to keep it?""","Johnny: ""Uh no, I don't think we would, what is it?"""
"Moira: ""oh please don't!No, Maureen does not like to be manhandled!"" | Roland: ""Hey Roses, if I tell you a secret, you promise to keep it?"" | Johnny: ""Uh no, I don't think we would, what is it?""","Roland: ""Shh! Shh! Shh! Shh! Shh! Johnny... Now listen, I'm the guy in charge of upholding the law around here, so if you have any ideas about turning me in, you'd just be turning me in to myself!"""
"Roland: ""Hey Roses, if I tell you a secret, you promise to keep it?"" | Johnny: ""Uh no, I don't think we would, what is it?"" | Roland: ""Shh! Shh! Shh! Shh! Shh! Johnny... Now listen, I'm the guy in charge of upholding the law around here, so if you have any ideas about turning me in, you'd just be turning me in to myself!""","Jocelyn: ""Spark it up, Roley! Spark it up."""
"Johnny: ""Uh no, I don't think we would, what is it?"" | Roland: ""Shh! Shh! Shh! Shh! Shh! Johnny... Now listen, I'm the guy in charge of upholding the law around here, so if you have any ideas about turning me in, you'd just be turning me in to myself!"" | Jocelyn: ""Spark it up, Roley! Spark it up.""","Roland: ""You got it, honey."""
"Roland: ""Shh! Shh! Shh! Shh! Shh! Johnny... Now listen, I'm the guy in charge of upholding the law around here, so if you have any ideas about turning me in, you'd just be turning me in to myself!"" | Jocelyn: ""Spark it up, Roley! Spark it up."" | Roland: ""You got it, honey.""","Jocelyn: ""Listen, I don't know if you guys wanna partake in this, because I'm sure your fancy dinner parties didn't have illegal substances!"""
"Jocelyn: ""Spark it up, Roley! Spark it up."" | Roland: ""You got it, honey."" | Jocelyn: ""Listen, I don't know if you guys wanna partake in this, because I'm sure your fancy dinner parties didn't have illegal substances!""","Moira: ""We had friends in the fda, but..."""
"Roland: ""You got it, honey."" | Jocelyn: ""Listen, I don't know if you guys wanna partake in this, because I'm sure your fancy dinner parties didn't have illegal substances!"" | Moira: ""We had friends in the fda, but...""","Johnny: ""Let this party begin."""
"Jocelyn: ""Listen, I don't know if you guys wanna partake in this, because I'm sure your fancy dinner parties didn't have illegal substances!"" | Moira: ""We had friends in the fda, but..."" | Johnny: ""Let this party begin.""","Rolandn: ""I'll fire up the cheese fountain!"""
"David: ""Quietly No thank you.""","Ted: ""So Mutt, did you two criminals do any good for the community today?"""
"David: ""Quietly No thank you."" | Ted: ""So Mutt, did you two criminals do any good for the community today?""","Mutt: ""We washed a car."""
"David: ""Quietly No thank you."" | Ted: ""So Mutt, did you two criminals do any good for the community today?"" | Mutt: ""We washed a car.""","Ted: ""You washed a car, wow."""
"Ted: ""So Mutt, did you two criminals do any good for the community today?"" | Mutt: ""We washed a car."" | Ted: ""You washed a car, wow.""","David: ""The judicial system is really cracking down on its delinquents these days, huh?"""
"Mutt: ""We washed a car."" | Ted: ""You washed a car, wow."" | David: ""The judicial system is really cracking down on its delinquents these days, huh?""","Ted: ""You know what I always wondered, what do you two talk about all day out there?"""
"Ted: ""You washed a car, wow."" | David: ""The judicial system is really cracking down on its delinquents these days, huh?"" | Ted: ""You know what I always wondered, what do you two talk about all day out there?""","Alexis: ""I mean we talk, but...We don't really talk about anything important."""
"David: ""The judicial system is really cracking down on its delinquents these days, huh?"" | Ted: ""You know what I always wondered, what do you two talk about all day out there?"" | Alexis: ""I mean we talk, but...We don't really talk about anything important.""","Ted: ""So..like what?"""
"Ted: ""You know what I always wondered, what do you two talk about all day out there?"" | Alexis: ""I mean we talk, but...We don't really talk about anything important."" | Ted: ""So..like what?""","Alexis: ""Like, Mutt was having a bad day today, so we talked about that."""
"Alexis: ""I mean we talk, but...We don't really talk about anything important."" | Ted: ""So..like what?"" | Alexis: ""Like, Mutt was having a bad day today, so we talked about that.""","Twyla: ""You didn't tell me you were having a bad day."""
"Ted: ""So..like what?"" | Alexis: ""Like, Mutt was having a bad day today, so we talked about that."" | Twyla: ""You didn't tell me you were having a bad day.""","Stevie: ""Ted, this is delicious."""
"Alexis: ""Like, Mutt was having a bad day today, so we talked about that."" | Twyla: ""You didn't tell me you were having a bad day."" | Stevie: ""Ted, this is delicious.""","Mutt: ""I didn't mean a bad day, Twy, I just meant like, he was questioning things."""
"Twyla: ""You didn't tell me you were having a bad day."" | Stevie: ""Ted, this is delicious."" | Mutt: ""I didn't mean a bad day, Twy, I just meant like, he was questioning things.""","Ted: ""Thank you, Stevie, I ordered it online from Nevada."""
"Stevie: ""Ted, this is delicious."" | Mutt: ""I didn't mean a bad day, Twy, I just meant like, he was questioning things."" | Ted: ""Thank you, Stevie, I ordered it online from Nevada.""","Twyla: ""What were you questioning?"""
"Mutt: ""I didn't mean a bad day, Twy, I just meant like, he was questioning things."" | Ted: ""Thank you, Stevie, I ordered it online from Nevada."" | Twyla: ""What were you questioning?""","David: ""So when the lasagna gets delivered, does it come frozen, or... ?"""
"Ted: ""Thank you, Stevie, I ordered it online from Nevada."" | Twyla: ""What were you questioning?"" | David: ""So when the lasagna gets delivered, does it come frozen, or... ?""","Twyla: ""Okay, I just uh... I don't know why you didn't feel comfortable talking to me about it."""
"Twyla: ""What were you questioning?"" | David: ""So when the lasagna gets delivered, does it come frozen, or... ?"" | Twyla: ""Okay, I just uh... I don't know why you didn't feel comfortable talking to me about it.""","Mutt: ""Its nothing important That's why I was talking to Alexis about it."""
"David: ""So when the lasagna gets delivered, does it come frozen, or... ?"" | Twyla: ""Okay, I just uh... I don't know why you didn't feel comfortable talking to me about it."" | Mutt: ""Its nothing important That's why I was talking to Alexis about it.""","Ted: ""Stevie, how long have you and David been um..."""
"Twyla: ""Okay, I just uh... I don't know why you didn't feel comfortable talking to me about it."" | Mutt: ""Its nothing important That's why I was talking to Alexis about it."" | Ted: ""Stevie, how long have you and David been um...""","Alexis: ""It's very fresh, and new."""
"Mutt: ""Its nothing important That's why I was talking to Alexis about it."" | Ted: ""Stevie, how long have you and David been um..."" | Alexis: ""It's very fresh, and new.""","Stevie: ""so eberyone knows?"""
"Ted: ""Stevie, how long have you and David been um..."" | Alexis: ""It's very fresh, and new."" | Stevie: ""so eberyone knows?""","David: ""What an elegant gesture, Ted."""
"Alexis: ""It's very fresh, and new."" | Stevie: ""so eberyone knows?"" | David: ""What an elegant gesture, Ted.""","Ted: ""I-I'm sorry, I thought everyone knew."""
"Moira: ""I've been with these people before. I know them all.""","Jocelyn: ""Wow, you've really been getting around town."""
"Moira: ""I've been with these people before. I know them all."" | Jocelyn: ""Wow, you've really been getting around town.""","Moira: ""No, I was with them in my other life. I'm gonna tell you something. I'm from a small town, just like this."""
"Moira: ""I've been with these people before. I know them all."" | Jocelyn: ""Wow, you've really been getting around town."" | Moira: ""No, I was with them in my other life. I'm gonna tell you something. I'm from a small town, just like this.""","Jocelyn: ""No, I'm not buying that! Why would you leave?"""
"Jocelyn: ""Wow, you've really been getting around town."" | Moira: ""No, I was with them in my other life. I'm gonna tell you something. I'm from a small town, just like this."" | Jocelyn: ""No, I'm not buying that! Why would you leave?""","Moira: ""Oh God, I couldn't wait to get out. I was dying there. Have you never dreamed Of a life beyond?"""
"Moira: ""No, I was with them in my other life. I'm gonna tell you something. I'm from a small town, just like this."" | Jocelyn: ""No, I'm not buying that! Why would you leave?"" | Moira: ""Oh God, I couldn't wait to get out. I was dying there. Have you never dreamed Of a life beyond?""","Jocelyn: ""You have what ifs, like, what if... I had enlisted in the military, what if Roland hadn't been such a smooth talker, what- oh man, what if!"""
"Jocelyn: ""No, I'm not buying that! Why would you leave?"" | Moira: ""Oh God, I couldn't wait to get out. I was dying there. Have you never dreamed Of a life beyond?"" | Jocelyn: ""You have what ifs, like, what if... I had enlisted in the military, what if Roland hadn't been such a smooth talker, what- oh man, what if!""","Moira: ""What if I had not been crowned ""miss snow cone"" at 16, and moved to the city with my driving instructor? And what if I had not hand modeled at that microwave trade show? What if I didn't ask, who's the eyebrows buying everyone's drinks?"""
"Moira: ""Oh God, I couldn't wait to get out. I was dying there. Have you never dreamed Of a life beyond?"" | Jocelyn: ""You have what ifs, like, what if... I had enlisted in the military, what if Roland hadn't been such a smooth talker, what- oh man, what if!"" | Moira: ""What if I had not been crowned ""miss snow cone"" at 16, and moved to the city with my driving instructor? And what if I had not hand modeled at that microwave trade show? What if I didn't ask, who's the eyebrows buying everyone's drinks?""","Jocelyn: ""Wow, now you know."""
"Stevie: ""Whatever happened to privacy? Now your whole family thinks I'm this big hooker!""","David: ""My whole family does not think you're a big hooker! It a funny one night thing! Everyone here is fine with it."""
"Stevie: ""Whatever happened to privacy? Now your whole family thinks I'm this big hooker!"" | David: ""My whole family does not think you're a big hooker! It a funny one night thing! Everyone here is fine with it.""","Stevie: ""You think it was funny?"""
"Stevie: ""Whatever happened to privacy? Now your whole family thinks I'm this big hooker!"" | David: ""My whole family does not think you're a big hooker! It a funny one night thing! Everyone here is fine with it."" | Stevie: ""You think it was funny?""","David: ""Yeah, it was a f-it was a fun- it was a-it was a funny-it was-yes."""
"David: ""My whole family does not think you're a big hooker! It a funny one night thing! Everyone here is fine with it."" | Stevie: ""You think it was funny?"" | David: ""Yeah, it was a f-it was a fun- it was a-it was a funny-it was-yes.""","Twyla: ""I had a best friend that hooked. She married one of her Johns on my birthday."""
"Stevie: ""You think it was funny?"" | David: ""Yeah, it was a f-it was a fun- it was a-it was a funny-it was-yes."" | Twyla: ""I had a best friend that hooked. She married one of her Johns on my birthday.""","Mutt: ""It's not the time, Twyla."""
"David: ""Yeah, it was a f-it was a fun- it was a-it was a funny-it was-yes."" | Twyla: ""I had a best friend that hooked. She married one of her Johns on my birthday."" | Mutt: ""It's not the time, Twyla.""","Alexis: ""Um Stevie, I don't think you're a big hooker."""
"Twyla: ""I had a best friend that hooked. She married one of her Johns on my birthday."" | Mutt: ""It's not the time, Twyla."" | Alexis: ""Um Stevie, I don't think you're a big hooker.""","Twyla: ""You don't talk all dinner, and now you're telling me I can't talk about Trixie?!"""
"Mutt: ""It's not the time, Twyla."" | Alexis: ""Um Stevie, I don't think you're a big hooker."" | Twyla: ""You don't talk all dinner, and now you're telling me I can't talk about Trixie?!""","Mutt: ""I'm sorry, it's just I think sometimes you have a tendency to say the wrong thing, that's all."""
"Alexis: ""Um Stevie, I don't think you're a big hooker."" | Twyla: ""You don't talk all dinner, and now you're telling me I can't talk about Trixie?!"" | Mutt: ""I'm sorry, it's just I think sometimes you have a tendency to say the wrong thing, that's all.""","Twyla: ""Is there a right time to talk about being a hooker?"""
"Twyla: ""You don't talk all dinner, and now you're telling me I can't talk about Trixie?!"" | Mutt: ""I'm sorry, it's just I think sometimes you have a tendency to say the wrong thing, that's all."" | Twyla: ""Is there a right time to talk about being a hooker?""","Stevie: ""I bet nobody thought sex with Trixie was funny."""
"Mutt: ""I'm sorry, it's just I think sometimes you have a tendency to say the wrong thing, that's all."" | Twyla: ""Is there a right time to talk about being a hooker?"" | Stevie: ""I bet nobody thought sex with Trixie was funny.""","David: ""I never said it was bad!"""
"Twyla: ""Is there a right time to talk about being a hooker?"" | Stevie: ""I bet nobody thought sex with Trixie was funny."" | David: ""I never said it was bad!""","Ted: ""Okay, you know what I think is happening, is things are just getting blown out of proportion, and honestly, if Alexis, you just tell us what you and mutt were talking about, it'd probably help."""
"Stevie: ""I bet nobody thought sex with Trixie was funny."" | David: ""I never said it was bad!"" | Ted: ""Okay, you know what I think is happening, is things are just getting blown out of proportion, and honestly, if Alexis, you just tell us what you and mutt were talking about, it'd probably help.""","Alexis: ""Oh my God, Ted! We were just washing a car, and talking about bad dreams. You sound a little defensive."""
"David: ""I never said it was bad!"" | Ted: ""Okay, you know what I think is happening, is things are just getting blown out of proportion, and honestly, if Alexis, you just tell us what you and mutt were talking about, it'd probably help."" | Alexis: ""Oh my God, Ted! We were just washing a car, and talking about bad dreams. You sound a little defensive.""","Stevie: ""You know what, i just remembered, I have to wake up early tomorrow, I have an early check in."""
"Ted: ""Okay, you know what I think is happening, is things are just getting blown out of proportion, and honestly, if Alexis, you just tell us what you and mutt were talking about, it'd probably help."" | Alexis: ""Oh my God, Ted! We were just washing a car, and talking about bad dreams. You sound a little defensive."" | Stevie: ""You know what, i just remembered, I have to wake up early tomorrow, I have an early check in.""","David: ""Uh, nobody checks in."""
"Alexis: ""Oh my God, Ted! We were just washing a car, and talking about bad dreams. You sound a little defensive."" | Stevie: ""You know what, i just remembered, I have to wake up early tomorrow, I have an early check in."" | David: ""Uh, nobody checks in.""","Stevie: ""Tomorrow someone is, early. Uh Ted, you have a really special place, and we should all do this again some time. David, would you mind walking me home, I don't think we're finished talking."""
"Stevie: ""You know what, i just remembered, I have to wake up early tomorrow, I have an early check in."" | David: ""Uh, nobody checks in."" | Stevie: ""Tomorrow someone is, early. Uh Ted, you have a really special place, and we should all do this again some time. David, would you mind walking me home, I don't think we're finished talking.""","Alexis: ""Oops David"""
"Roland: ""My son lives in a barn in the woods, by choice! He could be the next mayor of this town if he wanted it.""","Johnny: ""My son is ""pansexual."""""
