Character,Dialogue
Roland,"Yeah, not enough bounce for the bumps, if you know what I mean."
Roland,"But given your advanced years, it might just be the thing for you and Moira."
Johnny,"Yeah well, we're not that old...but $50?"
Moira,"Kudos to you, Mr. Rose."
Moira,"I can't believe I'm saying this, but I'm so comfortable!"
Johnny,"Well, only the best for you, my dear."
Moira,Yet they didn't want it?
Johnny,"Oh, I think they just felt sorry for us."
Moira,"Well, that seems strange, John."
Moira,Especially since Jocelyn paid over 200 for it.
Johnny,"You know what I think, I think they tried it out, and uh, it just didn't work for them."
Moira,"And by tried it out, you mean..."
Johnny,I mean they... tried it out.
Moira,Eww! Oh God! No! Oh! Oh!
Moira,"Oh God, that's memory foam, John!"
Johnny,"Oh Moira, we've stayed at Kennedy compound, Oh! This can't be any worse than that!"
Moira,The Kennedys aren't Roland!
Moira,"The Kennedys have regular medicals, daily laundering!"
Johnny,"This has gotta be better than the motel mattress we were using, I mean, who knows who tried that out!"
Moira,Is that supposed to be helping me?!
Johnny,"Moira, this is a 50 dollar gift from heaven."
Johnny,"I mean, look, hey!"
Johnny,"I don't feel any springs, no nails, no bolts!"
Johnny,"It's comfy, come to bed."
Moira,Tomorrow we get a mattress cover.
Johnny,"Yes, yes, that's the spirit."
Johnny,"Seriously, don't think about it."

Alexis,See you have to keep it upright.
David,I don't even wanna do this!
Alexis,"David, you're gonna feel so good, trust me."
David,"Oh my God, you know that I have bad foot-eye coordination, you didn't have to wear corrective leg braces for three months."
Alexis,"You can't blame everything on having been pigeon-toed, David."
Johnny,"Kids, your mother and I are gonna..."
Johnny,"Oh my God, David, what are you doing?!"
Alexis,I'm teaching him how to ride a bike!
Moira,"Oh please don't, you know I can't stand the sight of blood."
Johnny,"Seriously son, you're gonna hurt yourself!"
Alexis,"David, it is one foot on the pedal, and one foot on the ground, and then get the hell out of here!"
David,Okay? I don't know what that means.
Johnny,"Okay, I'm gonna hold the back."
Alexis,"Aah! He's coming, come on, come on!"
David,"Oh, okay-aah! Aah! Aah!"
Alexis,"David, the pedals make it move more!"
Moira,"John, he's doing it!"
Johnny,"You're doing it, son!"
Alexis,"Hey, someone get my camera!"
David,Nobody get a camera!

unknown,"Episode transcripts for the TV show ""Schitt's Creek"". Aired January 2015 to April 2020."
David,Do you like this sweater?
David ,Jared Leto gave it to me and I've always been on the fence about it.
Alexis,I dont know.
David,"What do you mean, you don't know?"
David,"You either like it, or you don't like it."
Alexis,"I mean, I like it 'cause Jared Leto gave it to you, and he was my first kiss, but I don't know if I like, like it, like it."
David,"Um, that's not really an answer."
Alexis,"I feel really bad, I feel like there's something burning in my throat."
David,"Oh my God, well, you could've answered the question by now."
David,So I guess I'm wearing it.
Alexis,"Dad, can you bring me some juice?"
Johnny,"Be right there, honey!"
Moira,"Yes, we'll be right there!"
Moira,"I knew this day would come, John!"
Moira,"Isolated, impoverished, cut off from all medical services!"
Moira,I only prayed it wouldn't be Alexis.
Johnny,"It's just a cold, Moira."
Moira,"Oh, it's always just a cold, John, until it's full blown... Typhoid!"
Alexis,I don't have typhoid!
Moira,"Well, of course you don't, what are the chances of that?!"
Moira,Gasps Do you remember Valentina?
Moira,Our chambermaid in little Martinique?
Moira,"We all thought she had just a cold, until it was too late!"
Moira,I'll never shake the mental image of her frothing and flailing in the water taxi!
Alexis,I can still hear you!
Moira,"We love you, Alexis!"
Johnny,"We love you, Alexis."
Moira,Tell her you're gonna bring her the juice.
Johnny,"I am bringing the juice, Moira."
Moira,"John, don't touch her."
Moira,"This is as far as I go, Alexis."
Moira,One of us has to stay safe for David.
David,I'm already in the room.
Johnny,"See, we're still alive, Moira, I think we're gonna be okay."
Moira,"Of course you are, that's the spirit."
Moira,I'm just going to close this door until you're done.
Moira,Sorry! Chain clinks I'm sorry!

David,Do you like this sweater?
Stevie,"Honestly,While I admire your courage, uh, when it comes to fashion, I'm just not the best person to ask."
Stevie,Whats going on?
David,Nothing
Stevie,"Mm, you seem stressy."
David,I'm not. I'm not stressy.
David,"I just want to make a lasting impression, so..."
Stevie,It's a job interview?
David,"For a ""brand manager"" position at an upscale boutique."
David,"Okay, there are certain lies I tell myself, and if you're any kind of a friend, you' will let me cling to those lies."
David,"And, drive me to the interview."
Stevie,"So is this like, an eitheror type thing?"
Stevie,"Can I help you cling to lies, and not drive you to Elmdale?"
David,"Okay, I'm gonna change my sweater, and meet you at your car, so."
Stevie,It's like a poncho.

Roland,"So the guys says to me, ""well, I wouldn't try that with a fractured larynx!"""
Bob,"I wouldn't try that, period!"
Johnny,Good morning boys.
Bob,Morning Johnny
Roland,"Oh man! Oh, boy."
Johnny,"Well, if you gentlemen don't mind, I'd like to start my day."
Roland,"Yeah, me too, um..."
Roland,Do you guys wanna see a card trick?
Bob,"Oh, I do." 
Roland,"first thing I need is a deck of cards."
Johnny,"All right, you know what, I hate to break up this party, but this is my office, and I do have a lot of work to do, so up, Roland."
Roland,"Uh, well that's kind of interesting, Johnny, because I don't remember seeing your application for a new business license."
Bob,To be a fly on the wall for this conversation!
Johnny,"Bob, you're in the room."
Roland,"You know, Johnny, it's kind of standard procedure for new businesses to register."
Roland,"But then again, I guess you don't really have a lot to register, do you?"
Johnny,"Maybe not to you, Roland, but keep in mind I did start Rose Video with 2,000 dollars and a dream, so it's all about planning."
Bob,"I see it every day.,Lots of quiet planning."
Bob,"Sure, he treats himself to a muffin or two, but uh, I get that that's all part of the planning, right, Johnny?"
Johnny,"Yeah, could be. I mean..."
Johnny,"I could look at this muffin and say, this is a fine muffin."
Johnny,"I'd kll for a bagel, but I haven't seen one bagel since I got to this town."
Johnny,"Now, back at Rose Video, I used to get my assistant to bring me a bagel every morning."
Johnny,So I might think a bagel shop is something this town could use.
Bob,"Oh, I love a good bagel, Johnny."
Bob,Do you-do you think that idea really has legs?
Johnny,"Well, it's just an example, Bob."
Roland,"Ooh, I just get chills thinking that we're sitting right in the middle of the ""Johnny Rose Dream Factory!"""
Roland,"I'll tell you what, Johnny, instead of the license fee, I'll just take a bite of your muffin."

Moira,"I have to go to this Jazzagals rehearsal, Alexis, so I'll need your word you'll remain stable."
Moira,We're a long way from any hospitals.
Moira,You can't be playing fast and loose with those symptoms.
Moira,Alexis?ALexis?
Alexis,I am sleeping!!
Moira,"Honey, I need to ask you a serious question."
Moira,"Has it gotten worse, or are you just not wearing any makeup?"
Alexis,Your freaking out is not helping anything!
Moira,"Well, I'm sorry, dear, but you're the first one to get sick here, and I-I can't... I don't..."
Alexis,"I appreciate your concern, but it's only a cold, and I just need to get better."
Moira,You're right.
Alexis,"Do I have a fever, though?"
Moira,I dont know
Alexis,Can you check?
Moira,I think you have to do it without the tissue.
Moira,"You're right, okay, put your hand up on the forehead."
Moira,Its warm!
Alexis,How warm!!?
Moira,"I don't know Alexis, I'm not a nurse!"
Moira,"Though I played one once in a lovely little production of ""Harvey,"" but she worked in a mental institute."
Moira,I blame those late nights at the barn.
Moira,"Cold air whistling in and out, and you and Mutt not wearing near enough clothing."
Alexis,Everybody gets sick sometimes.
Moira,Speak for yourself!
Moira,"I'm sorry, Alexis, I'm sorry I must leave you, but... mummy's gotta fight for her solo."

David,"Well, this can't be it."
Stevie,Can't you tell by how upscale the boutique is?
David,"Well, that's false advertising!"
David,"I've been in this boutique, and nothing about it is upscale!"
Stevie,How did you being in this store ever happen?
David,"I was with Roland, we were shopping for Jocelyn."
David,"It's a long, frightening story."
David,"Anyway, we can't be here, we need to go."
Stevie,Why? What's the big deal?
David,There is a solid chance I may have insulted the owner.
Stevie,"Oh well, that doesn't sound like something you'd do."
David,She has very questionable taste.
David,And I may or may not have told her that to her face.
David,"So there is no point in being here, you can start the car."
Stevie,I didn't drive all the way out here for you not to do this.
Stevie,"Also, this is probably the only job in this town that you'll ever be qualified for."
David,"Okay, so do you want me to lead with that, or hold it 'til the end, and keep it as a surprise?"

Bob,I think you're really on to something with this bagel idea.
Johnny,"Yeah, but Bob, as I said this morning, it wasn't so much an idea, as it was an example of an idea."
Bob,"Well, for example, if you were to open a bagel shop, what would be the first thing you'd need to do?"
Johnny,"Well offhand, I honestly don't know, I suppose I'd start by finding a space."
Johnny,"And then I'd probably source out a bagel oven, and um, a bagel Baker."
Bob,Sesame seeds? Gwen loves the ones with sesame seeds.
Johnny,"well, whatever"
Bob,And then we get the blueberry cream cheese.
Johnny,"Listen Bob, I appreciate your enthusiasm, but even if this bagel shop was a viable idea..."
Bob,Which I think it is.
Johnny,But you still have... Considerable overhead.
Johnny,"I mean, you wanna make sure you're making..."
Johnny,Good bagels the real way.
Bob,"You would certainly know how to make them the real way, because you're uh... you..."
Johnny,Jewish?
Bob,I didn't know if I could say it.
Bob,"But boy, do you all love your bagels!"
Bob,"I mean I do too, and I'm not even uh..."
Johnny,"Jewish. You can say it, Bob."
Bob,"I don't know why, it feels like a swear."
Bob,What's the one you can't say?
Johnny,"Okay, you know what, I've got a lot of work to do, Bob, but thanks for stopping by."

Wendy,This is quite the resume.
Wendy,If I ever need a performance artist I know who to call.
David,Thank you!
Wendy,You called my store skanky when you were here with the mayor.
David,"Well, what I think I'd bring to the position is a worldly approach to merchandising, and sales tactics. We're not over the skanky thing, are we?"
Wendy,"No, and I can't help but wonder, why you'd wanna work in a store you described as skanky!"
David,I don't know if we need to keep saying the word.
Wendy,"Do you still think my store is skanky, David?"
David,Which is why I feel like I can help.
Wendy,You think I need your help?!
David,"Well, I am answering an ad in the paper."
Wendy,"Well David, I am looking for a partner."
Wendy,Someone who believes in my store.
David,"Well, I can say with complete certainty that I see literally nothing but potential."
David,"In your store, you know?"
David,Is the floor overcrowded? Yeah.
David,Are the mannequins a little too busty?
David,Does it smell like urinal cakes in here?
Wendy,"Well, this is all very constructive, and it's clear you have some strong ideas."
Wendy,Here's the issue It seems as though you have trouble filtering negative thoughts.
Wendy,"So I don't know if I can trust you to represent the ""Blouse Barn."""
David,"Okay, well, this has been a treat."
David,Thank you so much.
Wendy,"I'll need to see you on the floor, working with customers."
David,Okay!

Johnny,Can I help you?
baker,Bob want us to meet.
Johnny,Bob wants us to meet?!
baker,"Yeah, may I sit?"
Johnny,No.no.
Bob,"Laughs Hey there, Johnny."
Johnny,"Well... sure, sit. Sit down."
Bob,"Ivan would like to help with the uh, bagel idea."
Johnny,"Well, there's no bagel I mean, you know, Bob, I already told you... "
baker,I got some brick."
Johnny,You've got bricks? What bricks?
Bob,"Ivan works down at the quarry, he's got a whole truck filled with bricks."
Johnny,"Bob, you know, this bagel shop idea was just an idea."
Johnny,"You know, it's not even an idea, it's just an illustration of a theoretical idea."
Bob,"Well, that may be, but do you know how much a bagel oven costs?"
Bob,"And Ivan here, he's willing to do it for free."
baker,As long as I get to...
Bob,As long as he gets to make the bagels.
Johnny,"Wow, well, no one is making any bagels."
baker,You want me to start unloading?
Johnny,"Ivan, would you excuse us for a minute?"
Johnny,I just wanna have a word with Bob.
baker,-sure!
Johnny,"Could you stand, and excuse us?"
baker,"All right, oh, okay."
Bob,I'll meet you out there in a minute.
Johnny,"Bob, you know, we are... so f..."
Johnny,"We are so far from even remotely having a conversation about this... You know, business."
Bob,"You said you started Rose Video with 2,000 bucks and a dream."
Johnny,"I-Bob, you-you don't have to..."
Bob,Let's turn this dream... Into green!
Johnny,"Bob, I don't want your check."

customer,Do you think I should get it?
David,Mm! That's a question.
customer,You don't like it.
David,I never said that.
David,"I never said that, I feel... You know, in France, they say the looser the fit, the sexier the feel, so..."
customer,I've never been to France.
David,"Okay, what if I pulled a few other options, and um, see what happens?"
David,I'll be right back.

Stevie,Hi! How much longer do you expect me to wait in the car like some hired chauffeur?!
David,"Um, yeah, I'm gonna need you to do something for me."
Stevie,"Like drive home without you?"
David,"Uh no, Wendy has got me on a bit of a trial run with the customers, and I'm gonna need you to help me out by looking like you're enjoying this conversation a little more than you are, um, I'm gonna need you to buy a couple blouses from me."
Stevie,"WHat about this blouse?"
David,"Well, that's not an option."
Stevie,"But I have my sister's communion this weekend."
David,"Okay, don't do that."
Stevie,"Do you not like it? 
David,"Don't"
Stevie,"This is gonna be a smash at my husband's trial hearing."
Stevie,"He's got good taste."
David,"Okay, so I've pulled a few options."
David,Or we can go with what we have.

Moira,"Alexis"
Moira,"The woman at the general store said a girl in Elmdale recently contracted avian flu."
Moira,So I got you a bit of everything.
Moira,Oh... I see you're already being taken care of.
Moira,I didn't realize you were feeling well enough for company.
Mutt,I just brought over a few things to help break the fever.
Alexis,"And it's really helping, thank you."
Moira,"No, I-I'm relieved that Alexis has someone with such natural care-giving tendencies."
Moira,"Had I known your spirits were so high, I might not have spent the last 45 minutes of my life running around buying cold medication."
Alexis,I didn't ask you to go buy cold medication.
Alexis,When have you ever bought me cold medication?!
Moira,"Exactly, I knew it didn't feel right."
Mutt,"I think you're in good hands now, babe."
Moira,"Oh dear, are we sure this isn't just mono again?"
Moira,"What with your symptoms, and your lifestyle?"
Mutt,"Mrs. Rose, I don't have mono."
Moira,"Oh no offense dear, could be others."
Mutt,"Get some rest ALexis"
Alexis,"BYE"
Alexis,Weren't you supposed to be at choir practice mom?
Moira,I supposed to be there over an hour ago.
Alexis,So why aren't you?
Moira,Because I kept picturing you diseased and all alone.
Alexis,That's never stopped you before.
Moira,"I know! What the hell is going on, Alexis!"
Moira,I'm feeling something. Something debilitating!
Moira,"You're the ill one, but I'm... I'm feeling this..."
Alexis,Maternal instinct maybe?
Moira,"No, that's not it."
Alexis,Maybe

Roland,"Have I offended you in some way, Johnny?"
Johnny,Maybe
Roland,I'm just wondering at what point you decided to cut me out.
Roland,"Well, I assumed I would be consulted before we made any major decisions about the bagel business."
Johnny,What decisions?
Roland,"Well, hiring Ivan for one thing, I don't have good feeling about that guy."
Roland,I think he's ex-KGB.
Johnny,"Roland, there is no bagel business!"
Johnny,"Okay, it was just a stupid idea I made up because you were right."
Roland,"Well, I know that!"
Johnny,About me not doing anything.
Johnny,"It's tough enough coming up with a business idea, let alone a money making idea in a town this small, and I was you know, putting a lot of pressure on myself."
Johnny,Maybe too much pressure.
Johnny,And I've been doing nothing but... treading water.
Johnny,So I... started rambling about bagels this morning.
Bob,"Look at this, the brain trust!"
Bob,"So I was thinking, and uh, I'm not married to it, but uh...Bob's Bagels"
Roland,"Johnny, I think you have something you'd like to say to Bob."
Bob,You don't wanna use the name Bob?
Bob,"Oh, I get it, go with something a little more old testament?"
Johnny,"Bob that's not it, no."
Johnny,"See, there won't be a bagel shop."
Johnny,"'Cause I've looked into it, and it's not feasible."
Johnny,And there already is a bagel shop in Elmdale.
Bob,"But Ivan's about to hand in his notice down at the quarry, and uh..."
Bob,I gave you that check!
Johnny,Yes and of course I'm-I'm returning...this check to you.
Roland,"Whoa, whoa, hold on a second. You took money from Bob?"
Roland,Why didn't you come to me?
Johnny,You would've given me money?
Roland,"No, of course not, but as your partner..."
Johnny,You're not a partner! Not my partner.
Johnny,"Look Bob, I appreciate all the confidence you've shown in me."
Johnny,"I really do, and I promise you this I will come up with a... better idea real soon."
Bob,"You know, next time uh..."
Bob,"I should probably see a business plan so I don't invest so much in another uh, hollow scheme."
Roland,"Scoffs Yeah, me too."
Johnny,You didnt invest!
Roland,"Yes, and whose fault is that?"

Twyla,"Let me get the champagne. You guys are gonna love it, it's the same one we use to celebrate my mom's divorces."
Stevie,So how long before I can return this?
David,"Oh, it's exchange or store credit only."
Stevie,Thats funny
David,I am not joking
Stevie,"Well, I guess you're buying drinks tonight."
David,"I can do that, that's fair."
Stevie,and dinner And if I feel like dessert...
David,It's a 12 dollar negligee on a 2-for-1 promotion so...
Twyla,"Okay, I'll just drop a little raisin in here to release the bubbles."
David,Blechhh! That's no necessary!
Stevie,To your first job.
David,"Ooh, my first job was actually a gap kids campaign when I was six."
Stevie,To your first job!

Alexis,I am so tired
Alexis,Tell me a story.
Moira,How about a song?
Alexis,No
Moira,A story it is.
Moira,"There once was a radiant young actress, who dreamed of having two sons."
Moira,The second of which would be named Alex.
Alexis,I don't like this story.
Moira,Now it seems the vivacious daytime Emmy nominee was surprised by how taken she was with this unanticipated daughter.
Moira,"Mostly because she didn't cry as much as the unmannerly son, but also because she was adventurous, carefree, so beautiful."
Moira,Just like her mother.
Moira,"Alexis, you're on my arm."
Moira,"Alexis, seriously. I can't feel it!"
Moira,"Go to sleep, dear."

unknown,"Episode transcripts for the TV show ""Schitt's Creek"". Aired January 2015 to April 2020."
Moira,"Look at the state of this place, it's like we're in a Mumbai-an slum."
Moira,"A year ago we had a staff of twenty-five working the grounds of our home, and now we walk by a mattress on the side of the road, without thinking twice about it."
Johnny,"Well, the good news is that mattress is covering up the cracked toilet seat."
Moira,"John, do you remember what Goldie Hawn told us at that Amfar dinner?"
Moira,"""You are the life you accept for yourself."""
Moira,Those are Goldie's words.
Moira,Or something someone said to her in India.
Moira,Or perhaps she read it.
Moira,"In any case, it has always stayed with me."
Moira,"John, I will not accept this life."
Moira,And neither should you!
Moira,"I mean, would it kll someone to plant a few peonies?!"
Johnny,"I have a feeling if you want peonies, Moira, you're gonna have to plant them yourself."
Moira,"These are dark times John, but not that dark."

Alexis,I love how we can just be silent with each other.
Alexis,"I mean, I definitely feel like we used to talk more at the beginning, but um, it's good that we don't have to do that anymore."
Alexis,Because now we can just express how we feel through silence.
Alexis,what?
Mutt,"It's just, you're talking about how nice it is not to talk, but you're still, talking about it."
Alexis,"I mean, yeah, I'm not a mute!"
Mutt,"Well, that is an understatement."
Alexis,Are we having some non-fight fight or something?
Alexis,"Because all I'm saying is that it's nice to not talk, but apparently I'm not allowed to say that?!"
Mutt,It's not a fight.
Mutt,"All I am saying is that you know, you need to talk about everything, and I... don't."
Alexis,"I don't need to talk about everything, I'm just saying that, if I stopped talking, then who knows when we're gonna start talking again."

Wendy,Are those my mannequins?
David,Yeah
Wendy,"Well, where are they going?!"
David,"Oh, I sold them on eBay."
Wendy,"Well, what do you mean?"
David,"But don't worry, I'm using the money to buy other mannequins, ones that are a little less um..."
David,"Uh, I also placed a few other orders."
David,"Little things to scatter around the store, to give the space a more directional feel."
Wendy,"Oh David, I saw some cute little knick-knacks that I thought we could pair with the scarves."
Wendy,Where are the scarves?
David,"Oh, I sold those, too."
Wendy,"Oh. Well, things are happening very quickly."
Wendy,"Now the candles, are they something that we would sell at a blouse store?"
David,"No, those are just decorative."
David,Scent is a really important factor in defining a brand.
David,Alexander Wang once fired my friend over the smell of his cologne.
David"To Alex's credit, ""Curve Pour Hommes"" hasn't been the look since '97."
Wendy,"Well, the look and the smell here's very ""woody"", very funky."
Wendy,"Now David, you don't have to sell all my things off."
Wendy,You can use the company credit card.
David,"Yeah, I used that, too."
Wendy,"Oh well then, save all the receipts, because anything you buy for the store is a write off."
Wendy,"The candles, and the jewelry stands..."
Wendy,"No, David! Jewelry stands!"

Moira,"I have taken a moment out of my busy schedule, because this poor town is sliding into disarray."
Moira,There is a filthy mattress just lying on the side of the road a few blocks from here!
Ray,"Oh no, that's dck Sinson's mattress, he's giving it away."
Moira,"Ray, I have always seen you as a sensitive, cultured, man of the world."
Moira,You have that striking accent.
Ray,Thank you
Moira,And I'm sure your family wanted more for you when they immigrated from...
Ray,Winnipeg
Moira,"We deserve more, don't we, ray?"
Moira,"We deserve cleanliness, we deserve flower beds, we deserve better lives!"
Ray,You make some very good points Mrs. Rose.
Ray,But can I ask why are you talking to me about this?
Moira,"I'm hoping to take my complaint to council, and I've been told you'd be the easiest one to crack."
Ray,Too kind. And I'd be happy to help.
Moira,Excellent!
Ray,"But unfortunately, I'm no longer on the town council."
Ray,"I resigned a few weeks ago, too overwhelmed with my businesses."
Ray,"But uh, you're more than welcome to take it to council yourself, with my endorsement."
Ray,"Which won't really help, since I resigned."
Ray,"Um, and council wasn't too happy about it."
Ray,"I'm surprised you didn't hear, I talked about it extensively on my podcast."
Moira,I don't know how I missed that.

Johnny,"David, is that you?"
Johnny,"Look at us, son, a couple of working stiffs back from the salt mines."
Johnny,"Two men, back from the mines."
David,What mines? What's that mean?
Johnny,It's a figure of speech.
David,"Um, I don't get that."
Johnny,The salt mines! Back from when people mined.
Johnny,"When miners worked in the, salt industry, they'd come home, after digging... salt."
Johnny,I don't know what it means!
David,"Uh-huh, you know I just got back from a four-hour shift that mostly consisted of me sampling luxury candles so..."
Johnny,"Well, that's that's a tough day."
Johnny,Why don't you grab yourself a cold one? Working man!
David,There's nothing in here.
Johnny,"Oh, I must've taken the last one."
Johnny,"You know, for what it's worth, son, I just wanted to tell you uh..."
Johnny,How proud of you I am.
David,Thank you!
Johnny,"I mean, you got this job all on your own, nobody had to make a call, nobody got involved, nobody had to... pay somebody off."
Johnny,"And you're looking very, very sharp."
Johnny,Is that a new sweater?
David,It is!
Johnny,"Well, word to the wise, son, don't... spend all your money at once."
David,I thought you weren't getting involved.
Johnny,"I'm not, I'm just saying, word to the wise, is all."
David,"Okay, what does ""word to the wise"" even mean?"
Johnny,Word to the wise.
Johnny,"When you're... speaking to somebody wise, you lis... you're cognizant of what they're saying."
Johnny,A wise person telling you...
Johnny,"Anyway, just-just uh, keep that in mind, and um..."
Johnny,Keep up the good work.
David,Thanks so much. I'm just gonna use this now. So...

Mutt,"Wake up sleepy head, nap time's over."
Alexis,"Honestly, honestly, I have no money, and an empty purse from two seasons ago!"
Mutt,"Alexis,Its me"
Alexis,Oh my God! Your face! You shaved!
Mutt,"Yes, you can see it now!"
mutt,Are you-are you crying?
Alexis,"No, um, when did you do this?"
Mutt,"Just now, I felt like a change."
Alexis,And you didn't talk to me about it.
Mutt,About me shaving my beard?
Alexis,Yeah!
Mutt,"Okay, what would we have talked about?"
Alexis,"You'd have said, uh, ""wow Alexis, I'm thinking about shaving my beard."""
Alexis,"And then I would've said, ""hm, no mutt, I don't think that that's the right journey for you at this point in time."""
Mutt,"Well, then I would've said, ""too bad."""
Mutt,"I shave like, every six months."
Mutt,"Okay, you try growing a beard!"
Alexis,"I was a beard for a very well known actor, and I get it, it's uncomfortable."
Alexis,"But your beard is like, my favorite thing about you!"
Mutt,My beard is your favorite thing about me!
Alexis,I said one of my favorite things.
Mutt,"No, no, no, no."
Mutt,"You said, ""favorite thing!"""
ALexis,"I just woke up, and you have a different face."
Alexis,So there's just a lot going on right now!
Mutt,"Yeah, tell me about it, I just found out that my girlfriend's favorite thing about me is the hair that grows out of my face!"
Alexis,That I think that that was a decision that we needed to make as a couple.
Alexis,Okay? We need to communicate more.
Mutt,"I really didn't think that ""this"" was a thing we needed to talk about."
Mutt,I thought we had a deeper thing goin' on.
Alexis,That's not what this is about.
Alexis,This is about me being left out of the loop.
Alexis,I do need to talk.
Alexis,"And maybe if we had talked more, I could have prepared myself for this."
Alexis,Look at your little doll lips.

citizen,"Thank you for installing the ramp at the post office but it's a little steep. I've tried it twice, and both times, I've been sort of shot back into traffic."
Roland,"Yeah, but see the thing with a ramp is, it's kind of a momentum thing, you really gotta you know, give it a..."
Moira,I have a concern.
Ronnie,I was just hoping to be interrupted by a concerned citizen.
Ronnie,"Would you like to be added to the agenda, Moira?"
Moira,"No need, I'm prepared to speak now."
Bob,"Well, that just doesn't work, I mean, we have a list, uh..."
Roland,"Bob, just concentrate on the minutes, okay?"
Roland,I can tell right now you're behind.
Bob,"Okay, typing is not my strong suit."
Bob,Ray could type without looking at the keys.
Moira,This will take but a moment.
Moira,I can't imagine you have anything more pressing this afternoon.
Ronnie,"Well, actually, Jennifer had the floor."
Moira,You could've spoken up.

Johnny,"David, if you're going out again, can you pick up some new toilet paper?"
Johnny,"I cannot use the stuff the motel provides, okay?"
Johnny,It's like a birthday streamer.
Johnny,"You-you-it stretches, and then, and then you pull it, and it just snaps, okay?"
Johnny,That-that whole thing just fell off the roller!
David,"Wow, um, dad, you remember Stevie."
Johnny,"Yes, yes, I remember Stevie."
Johnny,I know Stevie. I knew Stevie was here.
Johnny,That's why I came in with something funny.
David,"Hmm. Oh yeah, sure."
Johnny,What's this? Looks expensive.
David,"Oh, this is some new bedding."
Johnny,"David, didn't I just... Tell you to save your money?"
David,"I am testing this out for the store, so work is paying for it."
Johnny,Work is paying for your bedding?
Stevie,"I was gonna leave, but now I don't want to."
Johnny,What is that? Is that a new lamp?
David,"Yeah, I'm thinking of bringing home-ware into the store, so that's a write off."
Johnny,That's a write off?
Johnny,Do you even know what a write off is?!
David,"Uh yeah, it's when you buy something for your business and the government pays you back for it."
Johnny,"Oh, and who pays for it?"
David,"Nobody, you write it off."
Johnny,Who writes it off?!
David,"I don't know, the govern... The ""write off"" people!"
David,Why are we having this conversation?
Stevie,"So if I need booze to get through my day, I can just write that off?"
David,Thats a stretch!
Stevie,"But the skin care products you got this morning, those are a write off."
Johnny,What skin care products? You purchased skin care products?!
David,"Okay, okay. I am the face of the company."
David,"If I have acne, what does that say about the legitimacy of the store?"
Johnny,That's not a write off!
Johnny,That's not a write off!
Johnny,This?! Not a write off!
David,"Oh, well, the bedding's non refundable, so."
Johnny,"David, a write off... is a business expense used to reduce your taxable income!"
David,"Okay, well then why isn't it called a ""tax write off?"""
Johnny,"It is, you can't just buy things for yourself, and write them off!"
David,"Well then, I'll return some things."
David,"There's not enough space in here for the massage chair, anyway."
Stevie,I should get back to work.
Stevie,Just in case any more of your packages arrive.

Moira,"I am here to address an issue that I believe pertains to all of us, Self-respect."
Roland,I don't think we can help you in that department.
Moira,I'm speaking about what we have allowed to happen to this town.
Moira,"Everyone leaving their old things here and there, like some city-wide garage sale!"
Moira,We deserve better!
Moira,"A baby born in a prison cell does not know that a toilet should not be in the same room as its bed, but we do."
Ronnie,I didn't know you'd been in prison.
Moira,"What? No, I'm illustrating a point."
Moira,"Okay, picture all of you living in a cave, having never seen the outside world..."
Moira,And then I show up.
Moira,"No, this is not what I'm trying to say."
Ronnie,What are you trying to say?
Moira,That we should strive for something that sets us apart from the prison baby.
Moira,Greenery! We need greenery!
Moira,"Two sets each for the cafe, and the motel."
Moira,"And then a citywide clean up, and I will not take no for an answer."
Roland,"Yeah well, I was actually just gonna suggest that."
Moira,Before you suggested it.
Bob,"So there was just one baby in prison, or there were more?"

Twyla,Did you lose weight?
Mutt,I shaved my beard.
Twyla,"Oh, I like it. You look younger."
Mutt,"Thank you, Twyla. That means a lot."
Twyla,"So, what can I get you guys?"
Alexis,"Um, what's the cake today?"
Twyla,"I'm sorry, did you just ask for cake?"
Twyla,I'm not used to you ordering solid food.
Alexis,"Yeah, I'll just have a slice of whatever."
Mutt,I guess I'm having cake.
Alexis,"I don't know, I just feel like something's changed... with us."
Alexis,What are you thinking?
Mutt,I don't know if anything's changed.
Mutt,I think maybe we know each other better now.
Mutt,Maybe that's the problem.
Alexis,"No, no, I'm not saying that there's a problem, I'm just saying that there are definitely a few things between us that need to be adjusted in order to make this work for us."
Alexis,"Like maybe I need to talk less and listen more, and you need to talk more, and listen less."
Mutt,And are you willing to make these adjustments?
Alexis,"Well...are you?"
Twyla,I brought two forks.
Twyla,Just in case you wanted to share.

Moira,Be careful on those stairs!
Moira,"Hey, next order of business, we install a ramp here."
Ronnie,You really put Roland on the spot there.
Moira,I was simply exercising a basic human right.
Ronnie,"Yeah, and I don't disagree with you."
Moira,I've always known you were on my side.
Ronnie,"I wouldn't go that far. But I will say this, usually these council decisions, they take weeks."
Moira,"Oh, I won't wait for anyone's decision."
Moira,"I once got Winnie Mandela to RSVP to an ""Artists Against Eczema"" benefit within the hour."
Ronnie,"You're a pain in the ass, but you get stuff done."
Moira,A delightful compliment.
Ronnie,"Hmm, but those boxwood trees?"
Moira,"Oh yes, two sets, and if you know a good ceramicist..."
Ronnie,I would lower your expectations.
Ronnie,You're lucky if you get some daisies in a planter. But good work.
Moira,Thank you.

David,Whats going on?
Alexis,I think Mutt and I ended things.
David,"You think? Okay, here's a serious question Are you capable of making an executive decision?"
Alexis,"I don't know, like, we were talking, and then we just..."
